model_sender,model_receiver,label_receiver_agg,n_unique_claims
qwen-2.5-7b,llama-3.2-3b,literal,1586
qwen-2.5-7b,llama-3.2-3b,sarcastic,3708
qwen-2.5-7b,qwen-2.5-7b,literal,0
qwen-2.5-7b,qwen-2.5-7b,sarcastic,0
qwen-2.5-7b,qwen-2.5-1.5b,literal,77398
qwen-2.5-7b,qwen-2.5-1.5b,sarcastic,80
qwen-2.5-7b,mistral-0.3-7b,literal,97
qwen-2.5-7b,mistral-0.3-7b,sarcastic,5432
qwen-2.5-7b,mistral-0.2-7b,literal,10005
qwen-2.5-7b,mistral-0.2-7b,sarcastic,2037
qwen-2.5-1.5b,llama-3.2-3b,literal,0
qwen-2.5-1.5b,llama-3.2-3b,sarcastic,75796
qwen-2.5-1.5b,qwen-2.5-7b,literal,80
qwen-2.5-1.5b,qwen-2.5-7b,sarcastic,77398
qwen-2.5-1.5b,qwen-2.5-1.5b,literal,0
qwen-2.5-1.5b,qwen-2.5-1.5b,sarcastic,0
qwen-2.5-1.5b,mistral-0.3-7b,literal,0
qwen-2.5-1.5b,mistral-0.3-7b,sarcastic,83281
qwen-2.5-1.5b,mistral-0.2-7b,literal,127
qwen-2.5-1.5b,mistral-0.2-7b,sarcastic,69598
mistral-0.3-7b,llama-3.2-3b,literal,2365
mistral-0.3-7b,llama-3.2-3b,sarcastic,83
mistral-0.3-7b,qwen-2.5-7b,literal,5432
mistral-0.3-7b,qwen-2.5-7b,sarcastic,97
mistral-0.3-7b,qwen-2.5-1.5b,literal,83281
mistral-0.3-7b,qwen-2.5-1.5b,sarcastic,0
mistral-0.3-7b,mistral-0.3-7b,literal,0
mistral-0.3-7b,mistral-0.3-7b,sarcastic,0
mistral-0.3-7b,mistral-0.2-7b,literal,13664
mistral-0.3-7b,mistral-0.2-7b,sarcastic,5
mistral-0.2-7b,llama-3.2-3b,literal,758
mistral-0.2-7b,llama-3.2-3b,sarcastic,9687
mistral-0.2-7b,qwen-2.5-7b,literal,2037
mistral-0.2-7b,qwen-2.5-7b,sarcastic,10005
mistral-0.2-7b,qwen-2.5-1.5b,literal,69598
mistral-0.2-7b,qwen-2.5-1.5b,sarcastic,127
mistral-0.2-7b,mistral-0.3-7b,literal,5
mistral-0.2-7b,mistral-0.3-7b,sarcastic,13664
mistral-0.2-7b,mistral-0.2-7b,literal,0
mistral-0.2-7b,mistral-0.2-7b,sarcastic,0
llama-3.2-3b,llama-3.2-3b,literal,0
llama-3.2-3b,llama-3.2-3b,sarcastic,0
llama-3.2-3b,qwen-2.5-7b,literal,3708
llama-3.2-3b,qwen-2.5-7b,sarcastic,1586
llama-3.2-3b,qwen-2.5-1.5b,literal,75796
llama-3.2-3b,qwen-2.5-1.5b,sarcastic,0
llama-3.2-3b,mistral-0.3-7b,literal,83
llama-3.2-3b,mistral-0.3-7b,sarcastic,2365
llama-3.2-3b,mistral-0.2-7b,literal,9687
llama-3.2-3b,mistral-0.2-7b,sarcastic,758
